Model Year,Regulatory Class,Vehicle Type,Production Share (%),Adjusted MPG,Adjusted MPG_City,Adjusted MPG_Hwy,Adjusted CO2 (g/mi),Adjusted CO2_City (g/mi),Adjusted CO2_Hwy (g/mi),Weight (lbs),Horsepower (hp),Footprint (sq. ft.)
"2012","Truck","Truck SUV","20.6","20","17.1","23","445","522","387","4640","261","49.7"
"2012","Truck","Van","4.9","21.3","17.7","25.1","418","502","355","4442","254","54.8"
"2013","All","All","100","24.2","20.5","28","368","434","318","4003","226","49.1"
"2013","Car","All Car","64.1","27.7","23.4","32.1","321","380","277","3543","197","45.9"
"2013","Car","Car SUV","10","24.3","20.7","28.1","365","430","316","3966","214","47.1"
"2013","Car","Sedan/Wagon","54.1","28.4","24","32.9","313","371","270","3465","194","45.7"
"2013","Truck","All Truck","35.9","19.8","16.8","22.8","450","530","390","4824","277","54.7"
"2013","Truck","Pickup","10.4","17.5","14.8","20.2","509","601","439","5429","328","65.3"
"2013","Truck","Truck SUV","21.8","20.8","17.8","23.9","427","500","372","4584","257","49.7"
"2013","Truck","Van","3.8","21.1","17.5","24.8","422","507","358","4543","257","54.8"
"2014","All","All","100","24.1","20.4","27.9","369","435","319","4060","230","49.7"
"2014","Car","All Car","59.3","27.6","23.4","32","322","380","278","3559","198","46.1"
"2014","Car","Car SUV","10.1","24.4","20.8","28.1","364","427","316","3865","204","46.5"
"2014","Car","Sedan/Wagon","49.2","28.4","24","32.9","313","371","270","3497","197","46"
